conv_id,turn_id,num_unique_titles,num_retrieved_documents
hobby_level3_dial9,2,50,100
hobby_level3_dial9,3,35,100
hobby_level3_dial19,1,40,100
hobby_level3_dial19,2,35,100
hobby_level3_dial19,3,43,100
hobby_level3_dial19,4,46,100
hobby_level3_dial19,5,36,100
hobby_level3_dial19,6,64,100
hobby_level3_dial19,7,46,100
hobby_level2_dial26,1,72,100
hobby_level2_dial26,2,86,100
hobby_level2_dial26,3,75,100
hobby_level2_dial26,4,59,100
hobby_level2_dial26,5,96,100
hobby_level2_dial26,6,72,100
food_level2_dial2,1,10,100
food_level2_dial2,2,43,100
food_level2_dial2,3,30,100
food_level2_dial2,4,57,100
food_level2_dial2,5,34,100
food_level2_dial2,6,42,100
hobby_level2_dial27,1,17,100
hobby_level2_dial27,2,42,100
hobby_level2_dial27,3,68,100
hobby_level2_dial27,4,61,100
hobby_level2_dial27,5,51,100
hobby_level2_dial27,6,59,100
food_level1_dial20,1,41,100
food_level1_dial20,2,23,100
food_level1_dial20,3,49,100
food_level1_dial20,4,32,100
food_level1_dial20,5,49,100
food_level1_dial20,6,58,100
hobby_level3_dial2,1,71,100
hobby_level3_dial2,2,53,100
hobby_level3_dial2,3,56,100
hobby_level3_dial2,4,59,100
hobby_level3_dial2,5,75,100
hobby_level3_dial2,6,76,100
food_level2_dial20,1,56,100
food_level2_dial20,2,30,100
food_level2_dial20,3,40,100
top25_dial29,1,60,100
top25_dial29,2,49,100
top25_dial29,3,35,100
top25_dial29,4,49,100
top25_dial29,5,49,100
top25_dial29,6,73,100
food_level3_dial1,1,54,100
food_level3_dial1,2,68,100
food_level3_dial1,3,53,100
food_level3_dial1,4,53,100
food_level3_dial1,5,43,100
food_level3_dial1,6,41,100
hobby_level3_dial20,1,63,100
hobby_level3_dial20,2,70,100
hobby_level3_dial20,3,55,100
hobby_level3_dial20,4,49,100
hobby_level3_dial20,5,68,100
hobby_level3_dial20,6,80,100
top25_dial57,1,45,100
top25_dial57,2,59,100
top25_dial57,3,90,100
top25_dial57,4,55,100
top25_dial57,5,88,100
top25_dial57,6,45,100
food_level1_dial21,1,35,100
food_level1_dial21,2,36,100
food_level1_dial21,3,40,100
food_level1_dial21,4,20,100
food_level1_dial21,5,41,100
food_level1_dial21,6,49,100
hobby_level2_dial28,1,45,100
hobby_level2_dial28,2,20,100
hobby_level2_dial28,3,59,100
hobby_level2_dial28,4,41,100
hobby_level2_dial28,5,21,100
hobby_level2_dial28,6,73,100
top25_dial3,1,31,100
top25_dial3,2,28,100
top25_dial3,3,27,100
top25_dial3,4,49,100
top25_dial3,5,61,100
top25_dial3,6,53,100
top25_dial3,7,54,100
food_level3_dial4,1,18,100
food_level3_dial4,2,22,100
food_level3_dial4,3,24,100
food_level3_dial4,4,21,100
food_level3_dial4,5,22,100
food_level3_dial4,6,30,100
top25_dial1,1,12,100
top25_dial1,2,9,100
top25_dial1,3,8,100
top25_dial1,4,25,100
top25_dial1,5,36,100
top25_dial1,6,40,100
food_level2_dial21,1,29,100
food_level2_dial21,2,25,100
food_level2_dial21,3,31,100
food_level2_dial21,4,46,100
food_level2_dial21,5,38,100
food_level2_dial21,6,34,100
hobby_level3_dial21,1,98,100
hobby_level3_dial21,2,42,100
hobby_level3_dial21,3,50,100
hobby_level3_dial21,4,91,100
hobby_level3_dial21,5,80,100
hobby_level3_dial21,6,68,100
hobby_level1_dial6,1,32,100
hobby_level1_dial6,2,29,100
hobby_level1_dial6,3,44,100
hobby_level1_dial6,4,54,100
hobby_level1_dial6,5,40,100
hobby_level1_dial6,6,44,100
food_level1_dial22,1,16,100
food_level1_dial22,2,23,100
food_level1_dial22,3,25,100
food_level1_dial22,4,44,100
food_level1_dial22,5,28,100
food_level1_dial22,6,54,100
hobby_level3_dial22,1,59,100
hobby_level3_dial22,2,68,100
hobby_level3_dial22,3,80,100
hobby_level3_dial22,4,87,100
food_level1_dial23,1,62,100
food_level1_dial23,2,33,100
food_level1_dial23,3,34,100
food_level1_dial23,4,57,100
food_level1_dial23,5,26,100
food_level1_dial23,6,29,100
food_level2_dial22,1,34,100
food_level2_dial22,2,29,100
food_level2_dial22,3,24,100
food_level2_dial22,4,23,100
food_level2_dial22,5,34,100
food_level2_dial22,6,33,100
hobby_level2_dial29,1,38,100
hobby_level2_dial29,2,32,100
hobby_level2_dial29,3,48,100
hobby_level2_dial29,4,30,100
hobby_level2_dial29,5,44,100
hobby_level2_dial29,6,59,100
hobby_level3_dial23,1,22,100
hobby_level3_dial23,2,54,100
hobby_level3_dial23,3,46,100
hobby_level3_dial23,4,32,100
hobby_level3_dial23,5,64,100
top25_dial30,1,61,100
top25_dial30,2,66,100
top25_dial30,3,59,100
top25_dial30,4,40,100
top25_dial30,5,40,100
top25_dial30,6,27,100
food_level1_dial3,1,32,100
food_level1_dial3,2,26,100
food_level1_dial3,3,32,100
food_level1_dial3,4,47,100
food_level1_dial3,5,60,100
food_level1_dial3,6,57,100
hobby_level1_dial7,1,61,100
hobby_level1_dial7,2,61,100
hobby_level1_dial7,3,22,100
hobby_level1_dial7,4,87,100
hobby_level1_dial7,5,56,100
