conv_id,turn_id,num_retrieved_docs,num_evidence_docs,num_prev_evidence_docs,found_ratio,ndcg@1,ndcg@5,ndcg@10,ndcg@20,ndcg@50
food_level1_dial11,5,100,3,7,1,1.0,1.0,1.0,0.778842958530688,0.6899514880597013
food_level1_dial11,6,100,2,10,1,1.0,1.0,1.0,1.0,1.0
hobby_level2_dial21,1,100,1,0,1,1.0,1.0,1.0,1.0,1.0
hobby_level2_dial21,2,100,1,3,1,0.0,0.6309297535714575,0.6309297535714575,0.6309297535714575,0.6309297535714575
hobby_level2_dial21,3,100,1,4,1,0.0,0.0,0.0,0.0,0.0
hobby_level2_dial21,4,100,1,6,1,0.0,0.5,0.5,0.5,0.5
food_level2_dial4,1,100,1,0,1,0.0,0.38685280723454163,0.38685280723454163,0.38685280723454163,0.38685280723454163
food_level2_dial4,2,100,1,1,1,1.0,1.0,1.0,0.7527425666302089,0.7527425666302089
food_level2_dial4,3,100,1,2,1,1.0,1.0,1.0,1.0,1.0
food_level2_dial4,4,100,2,3,1,0.0,0.0,0.2890648263178879,0.2890648263178879,0.2890648263178879
food_level2_dial4,5,100,1,5,1,0.0,0.0,0.31546487678572877,0.31546487678572877,0.3209699702368588
food_level2_dial4,6,100,3,7,1,1.0,0.9197207891481876,0.8308842371584716,0.8308842371584716,0.780074867338943
hobby_level3_dial1,1,100,3,0,1,0.0,0.0,0.0,0.0,0.0
hobby_level3_dial1,2,100,1,3,1,0.0,0.0,0.0,0.0,0.0
hobby_level3_dial1,3,100,1,4,1,0.0,0.0,0.0,0.2559580248098155,0.2559580248098155
hobby_level3_dial1,4,100,2,5,1,1.0,1.0,1.0,1.0,1.0
hobby_level3_dial1,5,100,1,7,1,0.0,0.0,0.0,0.2559580248098155,0.2692496563765763
hobby_level3_dial1,6,100,1,8,1,0.0,0.0,0.0,0.0,0.0
hobby_level1_dial18,1,100,1,0,1,0.0,0.5,0.5,0.5,0.5
hobby_level1_dial18,2,100,1,2,1,0.0,0.38685280723454163,0.38685280723454163,0.38685280723454163,0.38685280723454163
hobby_level1_dial18,3,100,2,4,0,0.0,0.0,0.0,0.0,0.0
hobby_level1_dial18,4,100,1,6,1,0.0,0.0,0.0,0.2559580248098155,0.26557970629750716
hobby_level1_dial18,5,100,1,8,1,0.0,0.6309297535714575,0.6309297535714575,0.6309297535714575,0.6309297535714575
hobby_level1_dial18,6,100,1,11,1,0.0,0.0,0.31546487678572877,0.31546487678572877,0.31546487678572877
food_level1_dial12,1,100,1,0,1,1.0,1.0,1.0,1.0,1.0
food_level1_dial12,2,100,1,1,1,1.0,0.8772153153380493,0.8772153153380493,0.8772153153380493,0.8772153153380493
food_level1_dial12,3,100,2,3,1,1.0,0.8503449055347546,0.8072467605676945,0.8072467605676945,0.8072467605676945
food_level1_dial12,4,100,2,5,1,0.0,0.0,0.31546487678572877,0.33529530548326497,0.35767550183423996
food_level1_dial12,5,100,0,7,0,0.0,0.0,0.0,0.0,0.0
food_level1_dial12,6,100,1,9,1,0.0,0.0,0.4227898344066503,0.4699755672783629,0.4699755672783629
top25_dial52,1,100,1,0,1,1.0,1.0,1.0,1.0,1.0
top25_dial52,2,100,2,1,1,0.0,0.5,0.5,0.5,0.5
hobby_level3_dial36,1,100,1,0,1,0.0,0.6309297535714575,0.6309297535714575,0.6309297535714575,0.6309297535714575
hobby_level3_dial36,2,100,1,1,1,0.0,0.5,0.5,0.5,0.5
hobby_level3_dial36,3,100,1,2,1,0.0,0.0,0.0,0.25,0.25
food_level3_dial3,1,100,1,0,1,0.0,0.6309297535714575,0.6309297535714575,0.6309297535714575,0.6309297535714575
food_level3_dial3,2,100,1,1,1,1.0,1.0,1.0,1.0,1.0
food_level3_dial3,3,100,1,2,1,1.0,1.0,1.0,1.0,1.0
food_level3_dial3,4,100,1,3,1,1.0,1.0,1.0,0.7841802768331765,0.7841802768331765
food_level3_dial3,5,100,2,4,1,0.0,0.0,0.31546487678572877,0.33529530548326497,0.3481119500049249
food_level3_dial3,6,100,2,6,1,1.0,0.8772153153380493,0.8385465274895063,0.8385465274895063,0.7363811705390039
hobby_level2_dial22,1,100,1,0,1,0.0,0.0,0.0,0.0,0.17905223175104137
hobby_level2_dial22,2,100,1,1,1,0.0,0.6309297535714575,0.6309297535714575,0.6309297535714575,0.5205828415955682
hobby_level2_dial22,3,100,2,2,1,0.0,0.5012658353418871,0.5012658353418871,0.5012658353418871,0.48348633601579166
hobby_level2_dial22,4,100,1,4,1,1.0,1.0,1.0,0.7550160946314525,0.7550160946314525
hobby_level2_dial22,5,100,1,5,1,0.0,0.6309297535714575,0.6309297535714575,0.6309297535714575,0.6309297535714575
hobby_level2_dial22,6,100,3,6,1,1.0,1.0,0.9217868789962071,0.9217868789962071,0.9217868789962071
food_level2_dial5,1,100,1,0,1,0.0,0.6309297535714575,0.6309297535714575,0.6309297535714575,0.6309297535714575
food_level2_dial5,2,100,2,1,1,0.0,0.0,0.0,0.25,0.25
food_level2_dial5,3,100,4,2,1,0.0,0.0,0.0,0.0,0.18790182470910757
food_level1_dial13,1,100,3,0,1,1.0,0.9197207891481876,0.9197207891481876,0.8307351058665282,0.8307351058665282
food_level1_dial13,2,100,4,3,1,0.0,0.43067655807339306,0.44130740935663865,0.46889312853846804,0.46889312853846804
food_level1_dial13,3,100,1,7,1,0.0,0.0,0.0,0.27894294565112987,0.27894294565112987
hobby_level3_dial37,1,100,1,0,1,0.0,0.43067655807339306,0.43067655807339306,0.43067655807339306,0.43067655807339306
hobby_level3_dial37,2,100,1,1,1,1.0,1.0,1.0,1.0,1.0
hobby_level3_dial37,3,100,1,2,0,0.0,0.0,0.0,0.0,0.0
hobby_level3_dial37,4,100,1,4,1,0.0,0.0,0.0,0.0,0.17905223175104137
hobby_level3_dial37,5,100,1,5,1,1.0,1.0,1.0,1.0,1.0
hobby_level3_dial37,6,100,0,6,0,0.0,0.0,0.0,0.0,0.0
hobby_level3_dial10,1,100,1,0,1,0.0,0.6309297535714575,0.6309297535714575,0.6309297535714575,0.6309297535714575
hobby_level3_dial10,2,100,3,1,1,1.0,0.8503449055347546,0.8179809735263114,0.8179809735263114,0.8179809735263114
hobby_level3_dial10,3,100,1,4,1,0.0,0.0,0.0,0.23137821315975915,0.23137821315975915
hobby_level3_dial10,4,100,1,5,0,0.0,0.0,0.0,0.0,0.0
food_level2_dial13,1,100,1,0,1,0.0,0.43067655807339306,0.43067655807339306,0.43067655807339306,0.43067655807339306
food_level2_dial13,2,100,3,1,1,0.0,0.0,0.0,0.25,0.25
food_level2_dial13,3,100,4,4,1,1.0,0.8854598815714874,0.8756458727267334,0.8498369583404946,0.8498369583404946
food_level2_dial13,4,100,4,6,1,0.0,0.6934264036172708,0.7036997876179215,0.7036997876179215,0.6632449951138372
food_level2_dial13,5,100,3,10,0,0.0,0.0,0.0,0.0,0.0
food_level2_dial13,6,100,1,13,1,0.0,0.43067655807339306,0.43067655807339306,0.43067655807339306,0.3945127680807654
food_level3_dial30,1,100,1,0,1,1.0,1.0,1.0,1.0,1.0
food_level3_dial30,2,100,1,1,1,0.0,0.6309297535714575,0.6309297535714575,0.6309297535714575,0.6309297535714575
food_level3_dial30,3,100,1,2,1,1.0,1.0,0.8175295903539445,0.7525219848627355,0.7525219848627355
food_level3_dial30,4,100,1,3,1,1.0,0.9197207891481876,0.8519590445170673,0.8519590445170673,0.8519590445170673
food_level3_dial30,5,100,0,6,0,0.0,0.0,0.0,0.0,0.0
food_level3_dial30,6,100,3,6,1,1.0,0.9674679834891693,0.9674679834891693,0.9674679834891693,0.9674679834891693
food_level3_dial30,7,100,1,9,1,1.0,0.8772153153380493,0.8772153153380493,0.7946419117160276,0.7946419117160276
food_level1_dial14,1,100,1,0,1,0.0,0.6309297535714575,0.6309297535714575,0.6309297535714575,0.6309297535714575
food_level1_dial14,2,100,1,1,1,1.0,1.0,1.0,1.0,0.7435918382736328
food_level1_dial14,3,100,4,2,1,1.0,0.9197207891481876,0.9197207891481876,0.8271739282268582,0.7648369534239527
food_level1_dial14,4,100,1,3,1,0.0,0.5,0.5,0.5,0.5
food_level1_dial14,5,100,1,4,1,0.0,0.5706417189553201,0.5706417189553201,0.5706417189553201,0.5706417189553201
food_level1_dial14,6,100,1,5,1,0.0,0.5,0.5,0.5,0.4251724527673773
hobby_level1_dial19,1,100,1,0,1,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333
hobby_level1_dial19,2,100,1,1,1,1.0,1.0,1.0,1.0,1.0
hobby_level1_dial19,3,100,1,2,1,1.0,1.0,1.0,1.0,1.0
hobby_level1_dial19,4,100,2,3,1,1.0,0.9197207891481876,0.8710785440003369,0.8710785440003369,0.7965689383965061
hobby_level1_dial19,5,100,4,5,1,1.0,0.9674679834891693,0.9438661545147249,0.9438661545147249,0.9438661545147249
hobby_level1_dial19,6,100,1,9,1,1.0,1.0,1.0,1.0,1.0
top25_dial53,1,100,1,0,1,0.0,0.38685280723454163,0.38685280723454163,0.38685280723454163,0.38685280723454163
top25_dial53,2,100,1,1,1,0.0,0.0,0.0,0.0,0.24814359580704748
top25_dial53,3,100,2,2,1,1.0,0.9197207891481876,0.9197207891481876,0.9197207891481876,0.9197207891481876
top25_dial53,4,100,1,4,1,1.0,1.0,0.8065735963827293,0.8065735963827293,0.8065735963827293
top25_dial53,5,100,1,5,1,0.0,0.6309297535714575,0.6309297535714575,0.6309297535714575,0.6309297535714575
top25_dial53,6,100,1,7,1,0.0,0.5,0.5249810332008933,0.5249810332008933,0.5249810332008933
food_level3_dial31,1,100,1,0,1,0.0,0.0,0.2890648263178879,0.2890648263178879,0.2890648263178879
food_level3_dial31,2,100,1,1,1,1.0,1.0,1.0,1.0,1.0
