conv_id,turn_id,n_sigma_50,sigma_50,query_length,num_retrieved_documents,num_filtered_documents
top25_dial24,6,0.06547948769588793,0.9283319584567279,201,100,100
food_level3_dial29,1,0.7044041119745975,2.1132123359237927,9,100,100
food_level3_dial29,2,0.21740417060781994,1.4420961235291008,44,100,100
food_level3_dial29,3,0.23073245510979576,1.9848356285177746,74,100,100
food_level3_dial29,4,0.1374421605620945,1.4545511060108458,112,100,100
food_level3_dial29,5,0.13924260344062195,1.8155014305135626,170,100,100
food_level3_dial29,6,0.11404831750281642,1.6877609726569358,219,100,100
hobby_level2_dial9,1,0.5697600079303426,1.6115246610257856,8,100,100
hobby_level2_dial9,2,0.20516481835010625,1.3296199881629893,42,100,100
hobby_level2_dial9,3,0.1501248679751166,1.4399471485364486,92,100,100
hobby_level2_dial9,4,0.060343976737799926,0.7680534327911089,162,100,100
hobby_level2_dial9,5,0.09095476110314352,1.3305534462803816,214,100,100
top25_dial51,1,0.16831997109798857,0.5049599132939657,9,100,100
top25_dial51,2,0.16768183023340166,1.0736875913445945,41,100,100
top25_dial51,3,0.08529514208700774,0.7817428900514531,84,100,100
top25_dial51,4,0.08214559095579509,1.009421921267315,151,100,100
top25_dial51,5,0.060255767410812705,0.8835229843344093,215,100,100
top25_dial51,6,0.05642860766722427,0.8868451823884459,247,100,100
hobby_level3_dial35,1,0.5919561271112252,2.1343281691246014,13,100,100
hobby_level3_dial35,2,0.15767961530380442,0.9972534498783296,40,100,100
hobby_level3_dial35,3,0.08661365208488206,0.7649510629729968,78,100,100
hobby_level3_dial35,4,0.08174149567665207,0.9426889154730023,133,100,100
hobby_level3_dial35,5,0.06830668144341107,0.8879868587643439,169,100,100
hobby_level3_dial35,6,0.09473685199738342,1.5098569687553287,254,100,100
hobby_level3_dial35,7,0.05026783413275495,0.8486187113736514,285,100,100
food_level1_dial11,1,0.3008086701590845,0.9024260104772536,9,100,100
food_level1_dial11,2,0.311236900928317,1.7328937253863415,31,100,100
food_level1_dial11,3,0.1707231516178154,1.3657852129425232,64,100,100
food_level1_dial11,4,0.12242265046335944,1.307116218818366,114,100,100
food_level1_dial11,5,0.12035565086659679,1.5176270123413131,159,100,100
food_level1_dial11,6,0.10162863268306364,1.5311897428776093,227,100,100
hobby_level2_dial21,1,0.4236976578529101,1.1983979481626015,8,100,100
hobby_level2_dial21,2,0.15944510427157652,1.2037841387648838,57,100,100
hobby_level2_dial21,3,0.1484556553599291,1.4393309804157377,94,100,100
hobby_level2_dial21,4,0.16797982898395894,2.118145048935822,159,100,100
food_level2_dial4,1,0.47600312894643076,1.6489232077939555,12,100,100
food_level2_dial4,2,0.24095263131830916,1.866411056641334,60,100,100
food_level2_dial4,3,0.2248342472563649,2.237072514514066,99,100,100
food_level2_dial4,4,0.17071039584180822,1.8778143542598904,121,100,100
food_level2_dial4,5,0.08663530570294019,1.1094732515278012,164,100,100
food_level2_dial4,6,0.12247769919578967,1.8855202124797703,237,100,100
hobby_level3_dial1,1,0.33381869117903745,1.0014560735371123,9,100,100
hobby_level3_dial1,2,0.06790449509556688,0.5880701778391675,75,100,100
hobby_level3_dial1,3,0.15301506340341647,1.6048355240081995,110,100,100
hobby_level3_dial1,4,0.10042214273246795,1.549237362941289,238,100,100
hobby_level3_dial1,5,0.057660261979570866,0.978527094017938,288,100,100
hobby_level3_dial1,6,0.024977032137357885,0.45097205657483747,326,100,100
hobby_level1_dial18,1,0.3958691285691047,0.9696773699145371,6,100,100
hobby_level1_dial18,2,0.28420366604693037,1.7974618081563252,40,100,100
hobby_level1_dial18,3,0.12375962224015238,1.0999995834840086,79,100,100
hobby_level1_dial18,4,0.11564089890144814,1.2238282395247768,112,100,100
hobby_level1_dial18,5,0.06315051521744186,0.7734326963829842,150,100,100
hobby_level1_dial18,6,0.04703164294816626,0.6448653986840307,188,100,100
food_level1_dial12,1,0.49137604643510424,1.3898213381875923,8,100,100
food_level1_dial12,2,0.29367114886818874,1.6870123121541056,33,100,100
food_level1_dial12,3,0.2139357094875058,1.840344559247062,74,100,100
food_level1_dial12,4,0.12171607418069563,1.5444038451608624,161,100,100
food_level1_dial12,5,0.08333756614078368,1.2583696532026847,228,100,100
food_level1_dial12,6,0.10330920997809827,1.7038191393552524,272,100,100
top25_dial52,1,0.2959605707881523,0.7830380681861785,7,100,100
top25_dial52,2,0.1431310881023707,0.7298282112357563,26,100,100
hobby_level3_dial36,1,0.3764465625278292,1.1904285549289333,10,100,100
hobby_level3_dial36,2,0.18624942827844285,1.0699215086274063,33,100,100
hobby_level3_dial36,3,0.06754997022991766,0.5099910913433463,57,100,100
food_level3_dial3,1,0.4578436685597894,1.294977451047813,8,100,100
food_level3_dial3,2,0.15583948186308505,0.9978595634664967,41,100,100
food_level3_dial3,3,0.22989193265969765,1.8101708879342524,62,100,100
food_level3_dial3,4,0.3095835966665678,2.8033987002655665,82,100,100
food_level3_dial3,5,0.10289627435436398,1.2043700132489061,137,100,100
food_level3_dial3,6,0.10540032238663304,1.3863247948957231,173,100,100
hobby_level2_dial22,1,0.21544593149310926,0.5277325993167383,6,100,100
hobby_level2_dial22,2,0.15485833511517866,0.8895934074077236,33,100,100
hobby_level2_dial22,3,0.12039550292298902,0.9089661138197227,57,100,100
hobby_level2_dial22,4,0.08179732031573538,0.8461180605325398,107,100,100
hobby_level2_dial22,5,0.09268918171394461,1.1942165681018275,166,100,100
hobby_level2_dial22,6,0.04307773746068207,0.6316436217656772,215,100,100
food_level2_dial5,1,0.7082994820191623,2.003373467386675,8,100,100
